features;accuracy;timeTraining;timeTesting
5;77.8125;0.004674434661865234;0.0028574466705322266
10;72.1875;0.009671449661254883;0.003951311111450195
20;65.625;0.014742612838745117;0.0049686431884765625
30;64.0625;0.015353679656982422;0.005670785903930664
40;63.125;0.019703388214111328;0.006639003753662109
50;64.6875;0.020174264907836914;0.006901264190673828
60;65.3125;0.022233963012695312;0.007926464080810547
70;62.1875;0.02485489845275879;0.008688926696777344
80;61.875;0.028827905654907227;0.009422063827514648
90;62.5;0.029085636138916016;0.010254144668579102
100;62.1875;0.03065943717956543;0.010848522186279297
110;63.4375;0.032590389251708984;0.011164665222167969
120;58.125;0.03236055374145508;0.012592077255249023
130;59.6875;0.03270077705383301;0.01237177848815918
140;59.6875;0.03389549255371094;0.013286352157592773
150;60.625;0.035094261169433594;0.014255523681640625
160;61.5625;0.03580474853515625;0.014518499374389648
170;61.875;0.03722381591796875;0.014627456665039062
180;64.375;0.03626418113708496;0.015006542205810547
190;62.5;0.037842512130737305;0.01644587516784668
200;63.125;0.038123130798339844;0.016446352005004883
210;62.8125;0.03765988349914551;0.016430377960205078
220;62.5;0.04092121124267578;0.01714038848876953
230;63.4375;0.04205727577209473;0.018286466598510742
240;63.75;0.04355287551879883;0.0175325870513916
250;64.375;0.04429173469543457;0.018309354782104492
260;64.375;0.045738935470581055;0.019402265548706055
270;64.375;0.04685831069946289;0.019410133361816406
280;63.75;0.049508094787597656;0.020299434661865234
290;63.4375;0.05115795135498047;0.021432161331176758
300;62.5;0.050292015075683594;0.021859407424926758
310;63.4375;0.05228090286254883;0.02217721939086914
320;64.375;0.07215619087219238;0.022634267807006836
330;64.0625;0.052686214447021484;0.022455453872680664
340;63.75;0.057009220123291016;0.02350330352783203
350;65.0;0.05475783348083496;0.024292945861816406
360;64.6875;0.05600762367248535;0.024799346923828125
370;64.375;0.05909466743469238;0.024777650833129883
380;65.3125;0.05456948280334473;0.023586034774780273
390;64.6875;0.058379411697387695;0.02369093894958496
400;64.6875;0.07544541358947754;0.02368330955505371
410;65.3125;0.060773372650146484;0.02498006820678711
420;64.375;0.05845332145690918;0.025855302810668945
430;65.3125;0.05852770805358887;0.026547670364379883
440;65.3125;0.06665849685668945;0.0271604061126709
450;64.375;0.06769323348999023;0.02737879753112793
460;64.6875;0.07330727577209473;0.027086734771728516
470;64.0625;0.07001042366027832;0.02720189094543457
480;64.375;0.08932304382324219;0.028317928314208984
490;64.6875;0.07072973251342773;0.028480052947998047
500;64.6875;0.0731668472290039;0.028083324432373047
510;65.0;0.0755918025970459;0.028641462326049805
520;64.6875;0.07628512382507324;0.029085397720336914
530;65.0;0.07334566116333008;0.029279708862304688
540;65.0;0.07759928703308105;0.028820037841796875
550;64.6875;0.07459354400634766;0.029232263565063477
560;64.375;0.08093523979187012;0.03086256980895996
570;64.0625;0.07615900039672852;0.029876232147216797
580;64.375;0.07455182075500488;0.03008866310119629
590;64.0625;0.0794830322265625;0.030889034271240234
600;64.0625;0.08469128608703613;0.030671119689941406
610;64.6875;0.08123970031738281;0.03141951560974121
620;64.375;0.0806124210357666;0.03113579750061035
630;64.375;0.08233785629272461;0.03144979476928711
640;64.375;0.09062457084655762;0.03156161308288574
650;64.0625;0.08935427665710449;0.032930850982666016
660;65.0;0.08769011497497559;0.03326773643493652
670;65.3125;0.09230566024780273;0.03201770782470703
680;65.0;0.08824563026428223;0.03227353096008301
690;64.375;0.09050798416137695;0.03278923034667969
700;64.6875;0.09168648719787598;0.03250741958618164
710;65.0;0.09008479118347168;0.03252243995666504
720;65.0;0.0908656120300293;0.03213334083557129
730;64.6875;0.08579492568969727;0.03367900848388672
740;64.6875;0.09444165229797363;0.03368115425109863
750;64.375;0.09498858451843262;0.03361368179321289
760;64.6875;0.08958768844604492;0.033072471618652344
770;64.6875;0.09351134300231934;0.03332328796386719
780;65.3125;0.09807443618774414;0.03271079063415527
790;65.3125;0.09314227104187012;0.03268074989318848
800;65.9375;0.0990595817565918;0.033583879470825195
810;65.625;0.09917497634887695;0.034087419509887695
820;65.625;0.10022997856140137;0.03426551818847656
830;65.625;0.09972357749938965;0.034630775451660156
840;65.625;0.10240721702575684;0.03520345687866211
850;65.3125;0.09849381446838379;0.034677743911743164
860;65.625;0.10641622543334961;0.034670352935791016
870;65.3125;0.10498952865600586;0.03595256805419922
880;65.9375;0.10934591293334961;0.03512287139892578
890;65.9375;0.11074304580688477;0.03547263145446777
900;65.625;0.10530662536621094;0.03724789619445801
910;65.625;0.11009836196899414;0.03586769104003906
920;65.625;0.10784220695495605;0.03603672981262207
930;65.625;0.11283349990844727;0.035840511322021484
940;65.0;0.11249780654907227;0.03659844398498535
950;65.3125;0.11232638359069824;0.037477731704711914
960;65.3125;0.11424517631530762;0.03703045845031738
970;65.0;0.11395740509033203;0.037966012954711914
980;64.6875;0.11392927169799805;0.03684544563293457
990;65.0;0.11650967597961426;0.03853011131286621
1000;65.3125;0.11644363403320312;0.037625789642333984
1010;65.625;0.11823296546936035;0.03810906410217285
1020;65.3125;0.11474108695983887;0.03760361671447754
1030;65.3125;0.11758184432983398;0.03811788558959961
1040;65.3125;0.11568474769592285;0.03794717788696289
1050;66.25;0.11626410484313965;0.03885459899902344
1060;66.25;0.11696696281433105;0.039035797119140625
1070;65.9375;0.11952853202819824;0.038771629333496094
1080;65.625;0.11865973472595215;0.03853178024291992
1090;65.3125;0.11946892738342285;0.0396418571472168
1100;65.3125;0.12156391143798828;0.039861202239990234
1110;65.625;0.1216428279876709;0.039080142974853516
1120;65.3125;0.12182831764221191;0.03930068016052246
1130;64.375;0.12216973304748535;0.03962969779968262
1140;64.375;0.12059664726257324;0.039133310317993164
1150;64.6875;0.12319564819335938;0.03919839859008789
1160;64.6875;0.12321710586547852;0.04095768928527832
1170;64.6875;0.12294912338256836;0.040743350982666016
1180;65.0;0.12559795379638672;0.04102897644042969
1190;64.6875;0.12597870826721191;0.04125094413757324
1200;64.375;0.12574219703674316;0.040125131607055664
1210;64.6875;0.12632155418395996;0.04035377502441406
1220;64.6875;0.12580251693725586;0.04021930694580078
1230;64.6875;0.12948894500732422;0.041454315185546875
1240;64.375;0.12732553482055664;0.04183030128479004
1250;64.375;0.12658381462097168;0.0405735969543457
1260;65.0;0.1265547275543213;0.040383338928222656
1270;65.0;0.12739109992980957;0.04143476486206055
1280;65.0;0.1279621124267578;0.04155278205871582
1290;65.3125;0.12933063507080078;0.041357994079589844
1300;64.6875;0.1265425682067871;0.04181170463562012
1310;64.6875;0.1285719871520996;0.042589426040649414
1320;64.6875;0.13008880615234375;0.04173111915588379
1330;64.6875;0.129472017288208;0.041589975357055664
1340;64.375;0.1285417079925537;0.04146981239318848
1350;64.6875;0.12842130661010742;0.04264211654663086
1360;64.6875;0.13287568092346191;0.041853904724121094
1370;64.6875;0.13158130645751953;0.042563438415527344
1380;64.375;0.1310102939605713;0.04233360290527344
1390;64.375;0.1308116912841797;0.04360079765319824
1400;64.375;0.1327517032623291;0.04208230972290039
1410;64.375;0.1313323974609375;0.04531121253967285
1420;65.0;0.1311497688293457;0.04404091835021973
1430;64.6875;0.1327362060546875;0.04452800750732422
1440;64.6875;0.13315582275390625;0.04431891441345215
1450;64.6875;0.13353514671325684;0.0447545051574707
1460;64.375;0.13574814796447754;0.04423928260803223
1470;64.375;0.1353435516357422;0.04373979568481445
1480;64.375;0.13561320304870605;0.04377412796020508
1490;64.375;0.13415026664733887;0.04464292526245117
1500;64.375;0.1350710391998291;0.04377865791320801
1510;64.375;0.1355452537536621;0.04414200782775879
1520;64.375;0.1341114044189453;0.04360008239746094
1530;64.375;0.13440370559692383;0.06419110298156738
1540;64.375;0.13925814628601074;0.04486083984375
1550;64.6875;0.13771820068359375;0.04512953758239746
1560;64.6875;0.14218807220458984;0.04395246505737305
1570;64.6875;0.13560962677001953;0.04441404342651367
1580;64.6875;0.13471698760986328;0.044609785079956055
1590;64.6875;0.13595890998840332;0.044884681701660156
1600;65.0;0.13600993156433105;0.04461932182312012
1610;65.0;0.13570141792297363;0.04513192176818848
1620;65.3125;0.1358177661895752;0.04417872428894043
1630;65.3125;0.13689637184143066;0.043769121170043945
1640;65.625;0.13736748695373535;0.04470324516296387
1650;65.3125;0.13692951202392578;0.04429507255554199
1660;65.3125;0.13799262046813965;0.04386091232299805
1670;65.3125;0.1381697654724121;0.0455777645111084
1680;65.625;0.1371450424194336;0.04457259178161621
1690;65.625;0.13802146911621094;0.04500532150268555
1700;65.625;0.13848638534545898;0.04478192329406738
1710;65.625;0.13852190971374512;0.0449366569519043
1720;65.3125;0.13932037353515625;0.04445314407348633
1730;65.3125;0.140641450881958;0.045389652252197266
1740;65.3125;0.14012551307678223;0.04465198516845703
1750;65.625;0.13950252532958984;0.04544878005981445
1760;65.625;0.13926076889038086;0.04572701454162598
1770;65.625;0.13966107368469238;0.04582858085632324
1780;65.9375;0.14367985725402832;0.045035362243652344
1790;65.9375;0.14069533348083496;0.04841423034667969
1800;65.9375;0.14284825325012207;0.0465388298034668
1810;65.625;0.1433548927307129;0.04575848579406738
1820;65.625;0.14208245277404785;0.0469050407409668
1830;65.625;0.16411972045898438;0.04608869552612305
1840;65.625;0.14197683334350586;0.047144174575805664
1850;65.625;0.14253449440002441;0.046759843826293945
1860;65.625;0.1413130760192871;0.04735994338989258
1870;65.625;0.14400720596313477;0.04596376419067383
1880;65.625;0.14203333854675293;0.045987606048583984
1890;65.625;0.1423780918121338;0.04708981513977051
1900;65.3125;0.141951322555542;0.04687309265136719
1910;65.3125;0.14261388778686523;0.046517372131347656
1920;65.3125;0.1446232795715332;0.04709267616271973
1930;65.3125;0.1458873748779297;0.046883583068847656
1940;65.3125;0.14510250091552734;0.04585766792297363
1950;65.3125;0.1436443328857422;0.047183990478515625
1960;65.3125;0.14529061317443848;0.04837632179260254
1970;65.3125;0.14513111114501953;0.04896712303161621
1980;65.3125;0.14402318000793457;0.04777097702026367
1990;65.3125;0.14629578590393066;0.04688692092895508
2000;65.3125;0.14520740509033203;0.04783225059509277
2010;65.9375;0.14664387702941895;0.048555612564086914
2020;65.9375;0.14757204055786133;0.04905581474304199
2030;65.9375;0.14832496643066406;0.04821920394897461
2040;65.9375;0.14769506454467773;0.0487668514251709
2050;66.25;0.14813923835754395;0.04777336120605469
2060;66.25;0.14541411399841309;0.048912763595581055
2070;66.25;0.1486968994140625;0.04826831817626953
2080;66.25;0.14705181121826172;0.04826617240905762
2090;66.25;0.14728021621704102;0.04841947555541992
2100;66.5625;0.14577913284301758;0.048450469970703125
2110;66.5625;0.15478205680847168;0.0506129264831543
2120;66.5625;0.14743924140930176;0.04908561706542969
2130;66.5625;0.1510472297668457;0.05026435852050781
2140;66.875;0.1481175422668457;0.04986166954040527
2150;66.5625;0.14981436729431152;0.04958081245422363
2160;66.5625;0.15242481231689453;0.049939632415771484
2170;66.5625;0.15071582794189453;0.05052685737609863
2180;66.5625;0.15128779411315918;0.05082297325134277
2190;66.5625;0.16952013969421387;0.04864072799682617
2200;66.25;0.1500561237335205;0.04862523078918457
2210;66.5625;0.1497023105621338;0.047704219818115234
2220;66.25;0.14941620826721191;0.04809308052062988
2230;66.25;0.15069937705993652;0.04888200759887695
2240;66.5625;0.15036845207214355;0.048334598541259766
2250;66.5625;0.1497039794921875;0.04888129234313965
2260;66.5625;0.15049529075622559;0.04815816879272461
2270;66.5625;0.15055131912231445;0.04998445510864258
2280;65.9375;0.14928889274597168;0.04905867576599121
2290;65.9375;0.15126442909240723;0.048676490783691406
2300;65.9375;0.150709867477417;0.04937100410461426
2310;65.9375;0.15254926681518555;0.04955744743347168
2320;65.9375;0.15124082565307617;0.04932260513305664
2330;65.9375;0.1522963047027588;0.050627708435058594
2340;65.9375;0.15258097648620605;0.04936575889587402
2350;65.9375;0.15341973304748535;0.049623727798461914
2360;65.625;0.1531391143798828;0.0504758358001709
2370;65.625;0.15311503410339355;0.0496668815612793
2380;65.9375;0.15239477157592773;0.05075693130493164
2390;65.9375;0.15364694595336914;0.05056023597717285
2400;65.9375;0.1536269187927246;0.04978680610656738
2410;65.9375;0.15360498428344727;0.049515724182128906
2420;65.9375;0.15273571014404297;0.05043530464172363
2430;65.9375;0.15467190742492676;0.05104541778564453
2440;65.9375;0.1561298370361328;0.05382394790649414
2450;66.25;0.15468430519104004;0.05007052421569824
2460;65.9375;0.15590763092041016;0.05159282684326172
2470;66.25;0.16315436363220215;0.053876638412475586
2480;66.25;0.15780043601989746;0.05320262908935547
2490;65.625;0.15533900260925293;0.04973959922790527
2500;65.625;0.1651921272277832;0.05282902717590332
2510;65.625;0.1633129119873047;0.0523076057434082
2520;65.625;0.1626598834991455;0.05385184288024902
2530;65.625;0.1555311679840088;0.05066275596618652
2540;65.625;0.15569591522216797;0.05131411552429199
2550;65.9375;0.15633893013000488;0.0514986515045166
2560;65.9375;0.17380762100219727;0.05117225646972656
2570;65.625;0.15883517265319824;0.05161476135253906
2580;65.625;0.1593027114868164;0.05097055435180664
2590;65.625;0.15691614151000977;0.05175971984863281
2600;65.9375;0.15628886222839355;0.051448822021484375
2610;66.25;0.15563273429870605;0.05106520652770996
2620;66.25;0.1559436321258545;0.05156564712524414
2630;66.25;0.15736937522888184;0.05052375793457031
2640;66.25;0.1584782600402832;0.05344438552856445
2650;66.25;0.15787458419799805;0.05116748809814453
2660;66.25;0.1578073501586914;0.05208158493041992
2670;66.25;0.15635895729064941;0.051699161529541016
2680;66.25;0.1596057415008545;0.051404476165771484
2690;66.25;0.15841960906982422;0.051049232482910156
2700;66.25;0.15654778480529785;0.052039384841918945
2710;66.25;0.18186068534851074;0.051596641540527344
2720;66.25;0.15974879264831543;0.05123448371887207
2730;65.9375;0.15889835357666016;0.051622629165649414
2740;65.9375;0.16090750694274902;0.051865577697753906
2750;65.9375;0.1604447364807129;0.05152773857116699
2760;65.9375;0.15860915184020996;0.0527956485748291
2770;65.9375;0.15967488288879395;0.05219221115112305
